Company Name,Phone Number,Address
1. Kuremal Mohanlal Kulfiwale,088843 00033,"Shop No. 526 Kucha Pati Ram, Sitaram Bazar Rd, Chawri Bazar, New Delhi, Delhi 110006"
2. Irenes Coffee Company Pvt. Ltd.,+91 99993 26887,"J-47, IGNOU Main Rd, Pocket E, Neb Sarai, Sainik Farm, New Delhi, Delhi 110068, India"
3. New Zealand Natural,011 4301 1666,"Park End Rajdhani Plaza, Plot No.6 Shop No.G-1, LSC, Preet Vihar, Delhi, 110092"
4. Armaan Fitting Works,098104 29762,"9144, Gali No.4, Multani Dhanda, Paharganj, Delhi 110055"
5. Anand Refrigeration Co. Pvt. Ltd.,+91 11 2981 2677,"D-86, Dr Ramlal Verma Marg, Lajpat Nagar I, Lajpat Nagar, New Delhi, Delhi 110024, India"
6. Hindchef Private Limited,+91 92666 06060,"First Floor, H-16, DSIIDC Complex, Udyog Nagar,, Near Udyog Nagar Metro Station, New Delhi, Delhi 110041, India"
7. Sparktech Systems Pvt Ltd,+91 97111 54005,"112, Vikas Deep Building, District Center, Laxmi Nagar, New Delhi, Delhi 110092, India"
8. Kap Cones,+91 11 2811 2454,"A-31/4, Block A, Mayapuri Industrial Area Phase I, Mayapuri, New Delhi, Delhi 110064, India"
9. Shree Ram Food Additives,093508 33496,"A 35/3, Block A, Mayapuri Industrial Area Phase I, Mayapuri, Delhi, 110064"
10. Sparktech Systems Pvt Ltd,+91 97111 54005,"112, Vikas Deep Building, District Center, Laxmi Nagar, New Delhi, Delhi 110092, India"
11. Daffoo Engineering Enterprises,011 2587 7283,"T-466/B-2, Block B, Baljit Nagar, Patel Nagar, New Delhi, Delhi 110008"
12. Unifrost Food Service Equipments,+91 98732 55539,"Ground floor, 241/2, opposite metro pillar 48, New Manglapuri, Sultanpur, New Delhi, Delhi 110030, India"
13. Delhee Customs,098992 28298,"156/201 Pooth khurd Industrial Area, Bawana Rd, near Kanhaiya dharam kanta, Delhi 110039"
14. Cvstar Bakery Equipment,081308 22404,"Shop No-8 Ground Floor M J Complex, opp. Bharat Chicken, New Delhi, Delhi 110092"
15. Rps Engineers,099102 30412,"A-45, Giri Marg, Fazalpur, Block A, Mandawali, Delhi, 110092"
16. Zener Refrigeration Pvt Ltd,,"Sardar Patel Enclave, Rohini Extension, Rohini, Delhi, 110086"
17. Taj Sigma Sales Service Pvt. Ltd.,+91 98112 29591,"3544-48, Nicholson Rd, South Indian Madrasi Colony, Mori Gate, New Delhi, Delhi 110006, India"
18. Deco Pride,+91 86849 43095,"139, Bhera Enclave, Paschim Vihar, New Delhi, Delhi 110087, India"
19. Taj Sigma Sales Service Pvt. Ltd.,+91 98112 29591,"3544-48, Nicholson Rd, South Indian Madrasi Colony, Mori Gate, New Delhi, Delhi 110006, India"
20. Ful-in Products,,"G-Floor, Khasra no.699, G-block, Main Road, Swami Shraddhanand Park, Bhalswa, Delhi 110042"
21. Sunrise Trolley Manufacturers,098111 33721,"A 36, DSIDC Industrial Area, ind Area, Delhi, 110040"
22. Servotech India Pvt. Limited,+91 11 4657 5867,"A-161,Lajpat Nagar -1st, New Delhi, Delhi 110024, India"
23. Vishal Cool India Pvt. Ltd.,+91 11 2876 3486,"B-17, DBI, Street No 9, Anand Parbat Industrial Area, New Rohtak Road, New Delhi, Delhi 110005, India"
24. Glacier Refrigeration,098100 07919,"21/23, Brij Complex, Jawala Heri Market, Paschim Vihar, Delhi, 110063"
25. Ramal Mech Engg Pvt Ltd,+91 98110 24797,"8-9 1st floor, composit house 170-171, 110049, Prajapat Nagar, Gulmohar Park, New Delhi, Delhi 110049, India"

